,Id,name,Function,Best-hit-arabi-name,arabi-symbol,arabi-defline,GO term
49,AC192204.3_FG005,,(M=31) PTHR21649 - CHLOROPHYLL A/B BINDING PROTEIN,AT5G54270.1,"LHCB3,LHCB3*1",light-harvesting chlorophyll B-binding protein 3,
50,AC192372.3_FG003,,,,,,
51,AC192381.3_FG004,,,,,,
52,AC193318.3_FG006,,,,,,
53,AC193786.3_FG005,bhlh54,(M=2) PTHR13935 - ACHAETE-SCUTE TRANSCRIPTION FACTOR-RELATED,AT3G56970.1,"BHLH038,ORG2",basic helix-loop-helix (bHLH) DNA-binding superfamily protein,"GO:0046983,GO:0003677"
54,AC194005.3_FG004,,,,,,
55,AC194056.3_FG008,,(M=61) PF05678 - VQ motif,AT1G78410.1,,VQ motif-containing protein,
56,AC194072.3_FG005,,,AT4G28310.1,,,
57,AC194176.3_FG002,,,,,,
58,AC194206.3_FG005,,,,,,
59,AC194214.3_FG002,,,,,,
60,AC194341.4_FG003,sun5,(M=2) PTHR12953 - MEMBRANE PROTEIN CH1 RELATED,AT4G23950.1,,Galactose-binding protein,
61,AC194355.3_FG002,,,,,,
62,AC194405.3_FG021,,(M=4) PTHR23336//PTHR23336:SF8 - ZINC FINGER CW-TYPE COILED-COIL DOMAIN PROTEIN 3. // SUBFAMILY NOT NAMED,AT1G19100.1,,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein",GO:0005524
63,AC194609.2_FG003,,,,,,
64,AC194878.3_FG001,,,,,,
65,AC194898.3_FG003,,,,,,
66,GRMZM2G042782,,,AT1G43690.1,,ubiquitin interaction motif-containing protein,GO:0005509
67,AC194980.3_FG002,,,,,,
68,AC195174.2_FG007,,,,,,
69,AC195320.3_FG003,,,,,,
70,AC195807.3_FG004,,,,,,
71,AC195860.3_FG005,,"(M=1) KOG3477 - Putative cytochrome c oxidase, subunit COX19",AT1G69750.1,"ATCOX19-2,COX19-2",cytochrome c oxidase 19-2,
72,GRMZM2G093399,,,,,,
73,AC196110.4_FG004,psei9,,,,,
74,AC196158.3_FG002,,,,,,
75,AC196170.2_FG003,,,,,,
76,AC196417.3_FG008,,(M=11) PF07333 - S locus-related glycoprotein 1 binding pollen coat protein (SLR1-BP),AT1G55010.1,PDF1.5,plant defensin 1.5,GO:0006952
77,AC196956.3_FG003,,,AT5G33406.1,,hAT dimerisation domain-containing protein / transposase-related,
78,AC197029.3_FG003,,(M=12) PTHR24361//PTHR24361:SF64 - MITOGEN-ACTIVATED KINASE KINASE KINASE ,AT1G09000.1,"ANP1,MAPKKK1,NP1",NPK1-related protein kinase 1,"GO:0004674,GO:0006468,GO:0016772,GO:0005524"
79,AC197038.3_FG001,,,,,,
80,GRMZM5G817046,,,,,,
81,GRMZM2G173742,,(M=7) PF04749//PF11204 - PLAC8 family // Protein of unknown function (DUF2985),AT5G05350.1,,PLAC8 family protein,
82,AC197164.4_FG002,,(M=17) K07466 - replication factor A1,AT5G08020.1,"ATRPA70B,RPA70B",RPA70-kDa subunit B,
83,AC197387.3_FG004,,,,,,
84,AC197699.3_FG002,,(M=5) K11159 - carotenoid cleavage dioxygenase,AT3G63520.1,"ATCCD1,ATNCED1,CCD1,NCED1",carotenoid cleavage dioxygenase 1,
85,AC197699.3_FG008,,(M=10) PF05129 - Transcription elongation factor Elf1 like,AT5G46030.1,,,
86,AC197705.4_FG001,pdc1,(M=5) 4.1.1.1 - Pyruvate decarboxylase.,AT4G33070.1,,Thiamine pyrophosphate dependent pyruvate decarboxylase family protein,"GO:0030976,GO:0001666,GO:0016829,GO:0000287,GO:0004737,GO:0008152,GO:0005829"
87,AC197783.3_FG005,,(M=4) PF02683 - Cytochrome C biogenesis protein transmembrane region,AT5G54290.2,CcdA,cytochrome c biogenesis protein family,"GO:0016020,GO:0055114,GO:0017004"
88,GRMZM2G115698,,,,,,
89,AC198380.3_FG001,,(M=37) PF00759 - Glycosyl hydrolase family 9,AT2G32990.1,"AtGH9B8,GH9B8",glycosyl hydrolase 9B8,"GO:0003824,GO:0005975,GO:0004553"
90,AC198490.3_FG003,,,,,,
91,AC198725.4_FG004,ofp19,"(M=43) PF04844 - Transcriptional repressor, ovate",AT2G18500.1,"ATOFP7,OFP7",ovate family protein 7,
92,AC198923.4_FG002,,,,,,
93,AC198937.4_FG003,,(M=7) 5.4.99.5 - Chorismate mutase.,AT5G10870.1,"ATCM2,CM2",chorismate mutase 2,"GO:0004106,GO:0009073"
94,AC199054.3_FG003,,,,,,
95,AC199439.4_FG005,,(M=1) PF00012//PF00069 - Hsp70 protein // Protein kinase domain,AT5G28540.1,BIP1,heat shock protein 70 (Hsp 70) family protein,"GO:0006468,GO:0016772,GO:0000166,GO:0004674,GO:0005524"
96,AC199632.4_FG007,,,,,,
97,GRMZM2G027728,,(M=4) K02908 - large subunit ribosomal protein L30e,AT1G77940.1,,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein,"GO:0022625,GO:0005829,GO:0005622,GO:0003735,GO:0006412"
98,AC199820.4_FG006,mybr29,(M=348) PF00249 - Myb-like DNA-binding domain,AT5G61620.1,,myb-like transcription factor family protein,"GO:0003682,GO:0003677"
99,AC199843.4_FG007,,,,,,"GO:0008270,GO:0003676"
100,AC200099.4_FG006,,(M=305) PF00067 - Cytochrome P450,AT3G48270.1,CYP71A26,"cytochrome P450, family 71, subfamily A, polypeptide 26","GO:0016705,GO:0055114,GO:0020037,GO:0009055"
101,AC200287.4_FG006,,,AT1G60460.1,,,
102,AC200298.4_FG001,,(M=1) PTHR22814:SF35 - PUTATIVE UNCHARACTERIZED PROTEIN P0551A11.11 (PUTATIVE UNCHARACTERIZED PROTEIN),AT3G56891.1,,Heavy metal transport/detoxification superfamily protein ,"GO:0046872,GO:0030001"
103,AC200754.4_FG004,,,,,,
104,AC202011.3_FG010,,(M=15) PF03087 - Arabidopsis protein of unknown function,AT2G17080.1,,Arabidopsis protein of unknown function (DUF241),
105,AC202110.3_FG004,,(M=11) PTHR19241//PTHR19241:SF95 - ATP-BINDING CASSETTE TRANSPORTER ,AT1G66950.1,"ATPDR11,PDR11",pleiotropic drug resistance 11,"GO:0016887,GO:0005524"
106,AC202129.3_FG001,,,,,,
107,AC202144.5_FG001,,,,,,
108,AC202435.3_FG001,,,AT1G67340.1,,HCP-like superfamily protein with MYND-type zinc finger,GO:0005515
109,GRMZM2G338696,,,AT1G80230.1,,Rubredoxin-like superfamily protein,"GO:0004129,GO:0005740"
110,AC202707.3_FG002,,(M=4) K05610 - ubiquitin carboxyl-terminal hydrolase L5 [EC:3.4.19.12],AT1G65650.1,UCH2,"Peptidase C12, ubiquitin carboxyl-terminal hydrolase 1","GO:0006511,GO:0005622,GO:0004221"
111,AC203173.3_FG001,,(M=7) PTHR13140:SF84 - MYOSIN VIII,AT3G16490.1,IQD26,IQ-domain 26,GO:0005515
112,AC203280.3_FG001,,"(M=354) PF00076 - RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",AT1G76460.1,,RNA-binding (RRM/RBD/RNP motifs) family protein,GO:0003676
113,AC203307.4_FG001,,,,,,
114,GRMZM2G054221,,,AT1G16670.1,,Protein kinase superfamily protein,"GO:0016772,GO:0006468,GO:0005524,GO:0004672"
115,AC198366.3_FG004,gras29,(M=99) PF03514 - GRAS domain family,AT1G50420.1,"SCL-3,SCL3",scarecrow-like 3,GO:0006355
116,GRMZM2G095164,,(M=22) PF05498 - Rapid ALkalinization Factor (RALF),AT4G15800.1,RALFL33,ralf-like 33,
117,AC203909.3_FG003,,(M=15) PTHR11748//PTHR11748:SF29 - D-LACTATE DEHYDROGENASE // SUBFAMILY NOT NAMED,AT5G44440.1,,FAD-binding Berberine family protein,"GO:0050660,GO:0016614,GO:0008762,GO:0055114"
118,GRMZM2G372058,,(M=35) KOG0472 - Leucine-rich repeat protein,AT2G34930.1,,disease resistance family protein / LRR family protein,GO:0005515
119,GRMZM2G104655,,(M=2) PTHR24420//PTHR24420:SF558 - LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE ,AT5G10530.1,,Concanavalin A-like lectin protein kinase family protein,"GO:0006468,GO:0030246,GO:0000166,GO:0004674,GO:0005524"
120,GRMZM2G483975,,(M=8) PTHR10288:SF5 - ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN,AT5G06770.1,,KH domain-containing protein / zinc finger (CCCH type) family protein,
121,AC204292.4_FG003,,(M=100) PF00168 - C2 domain,AT3G16510.1,,Calcium-dependent lipid-binding (CaLB domain) family protein,GO:0005515
122,AC204298.3_FG006,,,,,,
123,AC204502.4_FG006,ofp36,"(M=43) PF04844 - Transcriptional repressor, ovate",AT5G58360.1,"ATOFP3,OFP3",ovate family protein 3,GO:0003677
124,AC204515.4_FG006,,"(M=42) PF04578 - Protein of unknown function, DUF594",AT5G45530.1,,Protein of unknown function (DUF594),
125,GRMZM2G159544,,(M=4) PTHR11606 - GLUTAMATE DEHYDROGENASE,AT5G18170.1,GDH1,glutamate dehydrogenase 1,"GO:0006520,GO:0055114,GO:0016491"
126,AC204659.3_FG005,,(M=16) PTHR13007 - PRE-MRNA SPLICING FACTOR-RELATED,AT1G03140.1,,splicing factor Prp18 family protein,"GO:0008380,GO:0005681"
127,AC204717.3_FG005,,,AT5G27260.1,,,
128,GRMZM2G429972,,,,,,
129,AC204868.3_FG004,,(M=136) PF00646 - F-box domain,AT5G26960.1,,Galactose oxidase/kelch repeat superfamily protein,GO:0005515
130,AC205035.3_FG004,,,AT1G13270.2,"MAP1B,MAP1C",methionine aminopeptidase 1B,
131,AC205122.4_FG010,,,AT4G14280.1,,ARM repeat superfamily protein,
132,AC205154.3_FG005,,(M=128) 1.11.1.7 - Peroxidase.,AT5G42180.1,,Peroxidase superfamily protein,"GO:0020037,GO:0006979,GO:0046872,GO:0004601,GO:0055114,GO:0016491"
133,AC205175.3_FG002,,,,,,
134,GRMZM2G020231,,,,,,
135,GRMZM2G353091,,(M=20) PTHR10044//PTHR10044:SF81 - INHIBITOR OF APOPTOSIS // SUBFAMILY NOT NAMED,AT4G03000.1,,RING/U-box superfamily protein,"GO:0008270,GO:0005515"
136,AC205471.4_FG008,,(M=6) PTHR24420//PTHR24420:SF843 - LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE ,AT2G42800.1,"AtRLP29,RLP29",receptor like protein 29,"GO:0009505,GO:0005515"
137,AC205502.4_FG004,,(M=8) K14184 - alpha-humulene/beta-caryophyllene synthase,AT5G23960.2,"ATTPS21,TPS21",terpene synthase 21,"GO:0010333,GO:0000287,GO:0016829,GO:0008152"
138,AC205673.3_FG006,,,,,,
139,AC205730.3_FG001,,,,,,"GO:0008270,GO:0003676"
140,AC205853.3_FG014,,,AT3G53500.2,RSZ32,RNA-binding (RRM/RBD/RNP motifs) family protein with retrovirus zinc finger-like domain,"GO:0008270,GO:0003676"
141,AC206030.4_FG001,,(M=11) PTHR11206//PTHR11206:SF38 - MULTIDRUG RESISTANCE PROTEIN // SUBFAMILY NOT NAMED,AT5G19700.1,,MATE efflux family protein,"GO:0006855,GO:0016020,GO:0015297,GO:0015238"
142,AC206031.3_FG007,,,,,,
143,GRMZM2G094666,,(M=6) PTHR12400 - INOSITOL POLYPHOSPHATE KINASE,AT5G61760.1,"ATIPK2BETA,IPK2B,IPK2BETA",inositol polyphosphate kinase 2 beta,GO:0008440
144,GRMZM2G084727,,,AT1G15410.1,,aspartate-glutamate racemase family,"GO:0036361,GO:0006807,GO:0016855,GO:0009507"
145,AC206259.3_FG002,,(M=60) PF00098 - Zinc knuckle,AT3G53500.1,RSZ32,RNA-binding (RRM/RBD/RNP motifs) family protein with retrovirus zinc finger-like domain,"GO:0008270,GO:0003676"
146,AC206266.3_FG001,,(M=40) PF00005//PF00664 - ABC transporter // ABC transporter transmembrane region,AT3G59140.1,"ATMRP14,MRP14",multidrug resistance-associated protein 14,"GO:0042626,GO:0016021,GO:0006200,GO:0016887,GO:0055085,GO:0005524"
147,AC206332.3_FG005,,"(M=3) K14413 - beta-1,3-galactosyltransferase",AT1G26810.1,GALT1,galactosyltransferase1,"GO:0005794,GO:0006486,GO:0016021,GO:0016020,GO:0030246,GO:0008378,GO:0016757"
148,AC206425.3_FG002,,,,,,
149,GRMZM2G004955,,(M=86) PF01357//PF03330 - Pollen allergen // Rare lipoprotein A (RlpA)-like double-psi beta-barrel,AT3G45970.1,"ATEXLA1,ATEXPL1,ATHEXP BETA 2.1,EXLA1,EXPL1",expansin-like A1,
150,GRMZM2G053177,,,,,,
151,AC206764.4_FG003,,,AT2G36220.1,,,
152,AC206780.3_FG004,,,,,,"GO:0008270,GO:0003676"
153,GRMZM2G178734,,(M=64) PTHR11132 - SOLUTE CARRIER FAMILY 35,AT4G32390.1,,Nucleotide-sugar transporter family protein,"GO:0005794,GO:0016021,GO:0016020,GO:0005768,GO:0005802"
154,AC206952.3_FG001,,,,,,
155,AC206999.1_FG002,,,AT4G40020.1,,Myosin heavy chain-related protein,
156,AC207260.3_FG003,,,,,,
157,AC207309.3_FG007,,,,,,
158,AC207575.3_FG004,,,,,,
159,GRMZM5G869550,,,,,,
160,GRMZM2G353097,,(M=4) KOG4620 - Uncharacterized conserved protein,AT2G39725.1,,LYR family of Fe/S cluster biogenesis protein,
161,GRMZM2G163860,,,AT3G25510.1,,"disease resistance protein (TIR-NBS-LRR class), putative","GO:0017111,GO:0043531,GO:0005515,GO:0000166"
162,GRMZM2G180155,,"(M=2) PTHR10937 - GLUCOSAMINE--FRUCTOSE-6-PHOSPHATE AMINOTRANSFERASE, ISOMERIZING",AT3G24090.1,,glutamine-fructose-6-phosphate transaminase (isomerizing)s;sugar binding;transaminases,"GO:0005737,GO:0016051,GO:0004360"
163,GRMZM2G062245,,,,,,
164,AC208337.2_FG003,,(M=6) KOG1749 - 40S ribosomal protein S23,AT5G02960.1,,Ribosomal protein S12/S23 family protein,"GO:0003735,GO:0005840,GO:0006412,GO:0005622"
165,GRMZM2G416322,,(M=37) PTHR24420//PTHR24420:SF430 - LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE // SUBFAMILY NOT NAMED,AT4G03230.1,,S-locus lectin protein kinase family protein,"GO:0016772,GO:0006468,GO:0005524,GO:0004672"
166,AC208576.3_FG001,,,,,,
167,AC208577.3_FG005,,,,,,
168,GRMZM2G134749,,(M=3) K14571 - ribosome biogenesis ATPase,AT3G01610.1,"CDC48C,emb1354",cell division cycle 48C,"GO:0017111,GO:0005524,GO:0000166"
169,AC209332.3_FG011,,(M=55) PF02892 - BED zinc finger,AT5G33406.1,,hAT dimerisation domain-containing protein / transposase-related,GO:0003677
170,AC209364.3_FG004,,(M=60) PF00098 - Zinc knuckle,AT2G37340.1,"ATRSZ33,RSZ33",arginine/serine-rich zinc knuckle-containing protein 33,"GO:0008270,GO:0003676"
171,AC209624.2_FG001,,,,,,
172,AC209624.2_FG003,,,,,,
173,GRMZM2G175541,,,,,,"GO:0003676,GO:0000166"
174,AC209718.1_FG009,,(M=574) PF01535 - PPR repeat,AT1G17630.1,,Pentatricopeptide repeat (PPR-like) superfamily protein,
175,AC209729.3_FG003,,,AT2G37340.1,"ATRSZ33,RSZ33",arginine/serine-rich zinc knuckle-containing protein 33,"GO:0008270,GO:0003676"
176,AC209739.3_FG003,,(M=100) PF00168 - C2 domain,AT3G16510.1,,Calcium-dependent lipid-binding (CaLB domain) family protein,GO:0005515
177,AC209768.3_FG016,,(M=11) PTHR23023//PTHR23023:SF18 - DIMETHYLANILINE MONOOXYGENASE // SUBFAMILY NOT NAMED,AT1G19250.1,FMO1,flavin-dependent monooxygenase 1,"GO:0050661,GO:0050660,GO:0004499,GO:0055114"
178,AC209819.3_FG005,,(M=34) PTHR11746 - O-METHYLTRANSFERASE,AT4G35150.1,,O-methyltransferase family protein,"GO:0046983,GO:0008171,GO:0032259"
179,AC209819.3_FG006,,,AT1G17140.2,"ICR1,RIP1",interactor of constitutive active rops 1,
180,AC209819.3_FG009,dof44,"(M=47) PF02701 - Dof domain, zinc finger",AT2G34140.1,,Dof-type zinc finger DNA-binding family protein,"GO:0006355,GO:0008270,GO:0003677"
181,GRMZM2G130877,,,,,,
182,GRMZM2G168355,,(M=34) 1.14.11.9 - Flavanone 3-dioxygenase.,AT1G17020.1,"ATSRG1,SRG1",senescence-related gene 1,"GO:0016706,GO:0005506,GO:0016702,GO:0055114,GO:0016491"
183,AC210013.4_FG003,,(M=5) 2.1.1.41 - Sterol 24-C-methyltransferase.,AT5G13710.2,"CPH,SMT1",sterol methyltransferase 1,"GO:0016126,GO:0005773,GO:0016740,GO:0009793,GO:0008152,GO:0032259,GO:0003838"
184,GRMZM2G422877,,,,,,
185,AC210013.4_FG007,,,AT1G59720.1,CRR28,Tetratricopeptide repeat (TPR)-like superfamily protein,
186,AC210013.4_FG017,,(M=5) K01184 - polygalacturonase,AT3G57510.1,ADPG1,Pectin lyase-like superfamily protein,"GO:0005975,GO:0016798,GO:0004650,GO:0005576,GO:0008152"
187,AC210046.4_FG002,,,,,,
188,AC210158.3_FG004,,,,,,
189,AC210168.4_FG003,,(M=46) PF00314 - Thaumatin family,AT2G28790.1,,Pathogenesis-related thaumatin superfamily protein,
190,AC210596.3_FG003,,,AT1G21230.1,WAK5,wall associated kinase 5,"GO:0030247,GO:0005515"
191,AC210598.3_FG003,,(M=3) PF05023//PF09328 - Phytochelatin synthase // Domain of unknown function (DUF1984),AT5G44070.1,"ARA8,ATPCS1,CAD1,PCS1",phytochelatin synthase 1 (PCS1),"GO:0046872,GO:0046938,GO:0010038,GO:0016756"
192,AC210731.3_FG002,,,,,,
193,GRMZM2G069664,,(M=574) PF01535 - PPR repeat,AT3G04750.1,,Tetratricopeptide repeat (TPR)-like superfamily protein,
194,AC211413.4_FG001,,(M=6) PTHR23125:SF23 - N7-RELATED PROTEIN,AT4G05460.1,,RNI-like superfamily protein,
195,AC211474.3_FG006,,(M=57) PF10250 - GDP-fucose protein O-fucosyltransferase,AT1G14020.1,,O-fucosyltransferase family protein,
196,AC211477.3_FG021,,,,,,
197,AC211651.4_FG001,,(M=52) PTHR19375 - HEAT SHOCK PROTEIN 70KDA,AT5G28540.1,BIP1,heat shock protein 70 (Hsp 70) family protein,"GO:0005794,GO:0005730,GO:0005773,GO:0005829,GO:0005886,GO:0005774,GO:0005618,GO:0010197,GO:0005488,GO:0030433,GO:0046686,GO:0016592,GO:0034976,GO:0009506,GO:0009507"
198,GRMZM2G404647,,,AT2G11520.1,CRCK3,calmodulin-binding receptor-like cytoplasmic kinase 3,"GO:0016772,GO:0006468,GO:0005524,GO:0004672"
199,GRMZM5G810350,,,,,,
200,GRMZM2G127478,,,,,,
201,AC212351.4_FG001,,,,,,
202,AC212567.3_FG003,,,,,,
203,AC212754.3_FG004,,,AT1G78110.1,,,
204,GRMZM2G089567,,,,,,
205,GRMZM2G307094,,(M=5) PTHR20982 - RIBOSOME RECYCLING FACTOR,AT3G63190.1,"AtcpRRF,cpRRF,HFP108,RRF","ribosome recycling factor, chloroplast precursor",GO:0006412
206,AC212898.2_FG006,,,AT3G07670.1,,Rubisco methyltransferase family protein,
207,AC213432.2_FG004,,(M=70) PF04043 - Plant invertase/pectin methylesterase inhibitor,AT5G38610.1,,Plant invertase/pectin methylesterase inhibitor superfamily protein,"GO:0004857,GO:0043086,GO:0030599"
208,AC213455.3_FG008,,(M=10) PF02163 - Peptidase family M50,AT1G05140.1,,Peptidase M50 family protein,"GO:0006508,GO:0004222"
209,AC213463.3_FG009,,(M=15) PF06136 - Domain of unknown function (DUF966),AT2G28150.1,,Domain of unknown function (DUF966),
210,GRMZM2G590027,,,,,,
211,AC213621.5_FG002,,(M=57) PF10250 - GDP-fucose protein O-fucosyltransferase,AT2G01480.1,,O-fucosyltransferase family protein,
212,AC213884.3_FG002,myb119,(M=184) PTHR10641 - MYB-LIKE DNA-BINDING PROTEIN MYB,AT4G37260.1,"ATMYB73,MYB73",myb domain protein 73,"GO:0003682,GO:0003677"
213,AC214168.3_FG001,e2f17,(M=8) PTHR12081:SF18 - TRANSCRIPTION FACTOR E2F,AT2G36010.1,"ATE2FA,E2F3",E2F transcription factor 3,"GO:0003700,GO:0006355,GO:0005667"
214,AC214267.3_FG004,,,,,,
215,AC214267.3_FG010,,,,,,
216,GRMZM2G015432,,,AT5G45410.3,,,"GO:0003735,GO:0006412,GO:0005840,GO:0005622"
217,GRMZM2G180251,,,,,,
218,GRMZM2G029455,,(M=22) PF05498 - Rapid ALkalinization Factor (RALF),AT4G15800.1,RALFL33,ralf-like 33,
219,GRMZM5G873455,,,,,,
220,AC215195.3_FG005,,,,,,
221,GRMZM2G061758,,,AT5G37930.1,,Protein with RING/U-box and TRAF-like domains,"GO:0016874,GO:0005634,GO:0016567,GO:0006511,GO:0008270,GO:0005515,GO:0046872,GO:0004842,GO:0007275"
222,AC215309.3_FG004,,,,,,
223,GRMZM2G089288,,(M=64) PF00234 - Protease inhibitor/seed storage/LTP family,AT4G14815.1,,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein,"GO:0008289,GO:0006869"
224,GRMZM2G180262,,(M=61) PF05678 - VQ motif,AT2G41010.1,"ATCAMBP25,CAMBP25",calmodulin (CAM)-binding protein of 25 kDa,
225,AC215723.3_FG001,,(M=574) PF01535 - PPR repeat,AT1G62930.1,,Tetratricopeptide repeat (TPR)-like superfamily protein,
226,AC215907.3_FG003,,,,,,
227,AC216203.3_FG003,,,,,,"GO:0008270,GO:0003676"
228,AC216247.3_FG001,hsftf19,(M=17) KOG0627 - Heat shock transcription factor,AT1G46264.1,"AT-HSFB4,HSFB4,SCZ",heat shock transcription factor  B4,"GO:0003700,GO:0043565,GO:0005634,GO:0006355"
229,GRMZM2G386923,,,AT1G79190.1,,ARM repeat superfamily protein,
230,AC216886.3_FG002,,(M=59) PF03005 - Arabidopsis proteins of unknown function,AT5G15890.1,TBL21,TRICHOME BIREFRINGENCE-LIKE 21,
231,GRMZM2G087507,,(M=19) PTHR11732:SF34 - ALDO-KETO REDUCTASE,AT1G59960.1,,NAD(P)-linked oxidoreductase superfamily protein,"GO:0055114,GO:0016491"
232,GRMZM2G102015,,(M=2) 2.7.1.24 - Dephospho-CoA kinase.,AT2G27490.1,ATCOAE,dephospho-CoA kinase family,"GO:0015937,GO:0005524,GO:0004140"
233,AC194912.3_FG003,,,,,,
234,AC217358.3_FG009,,"(M=47) K07976 - Rab family, other",AT1G09630.1,"ATRAB-A2A,ATRAB11C,ATRABA2A,RAB-A2A,RAB11c",RAB GTPase 11C,"GO:0015031,GO:0007264,GO:0005525"
